Mese,gtrends_inflation,gtrends_deflation,gtrends_index(1-0),aspettative_istat,inflation,std_gtrends_inflation,std_gtrend_index(1-0),MA(4)_inflation,ma(4)_std_gtrends_index(1-0),delta_gtrends_index,std_delta_gtrends_index,ma(4)_std_delta_gtrends_index,ma(4)_aspettative,infl,ma(4)_std_delta_gtrends_index
mag-10,24,3,24,0.038871463,0.07168458781366,-0.087504739,-0.087504739,0.19804981817370,-0.167367143,4,0.370859056,-0.311784162,-0.441924937,0.053647578,-0.311784162
giu-10,15,5,15,-0.448034298,0.00000000000000,-0.806266372,-0.806266372,0.17999927665744,-0.347057551,-9,-0.738436174,-0.162455958,-0.379832985,0.089145726,-0.162455958
lug-10,16,2,16,-0.031663808,0.35816618911172,-0.726403968,-0.726403968,0.19739075178529,-0.506782358,1,0.114867849,-0.141123358,-0.253210808,0.245048561,-0.141123358
ago-10,16,8,16,-0.397128649,0.21413276231264,-0.726403968,-0.726403968,0.16099588480950,-0.586644762,0,0.029537447,-0.055792955,-0.209488823,0.265626042,-0.055792955
set-10,21,4,21,-0.429671977,-0.21367521367522,-0.32709195,-0.32709195,0.08965593443728,-0.646541564,5,0.456189459,-0.034460355,-0.326624683,0.36414821,-0.034460355
ott-10,17,3,17,-0.360072621,0.21413276231264,-0.646541564,-0.646541564,0.14318912501544,-0.606610363,-4,-0.311784162,0.072202648,-0.304634264,0.397786154,0.072202648
nov-10,20,2,20,-0.753974737,0.00000000000000,-0.406954354,-0.406954354,0.05364757773751,-0.526747959,3,0.285528654,0.114867849,-0.485211996,0.319716186,0.114867849
dic-10,16,3,16,-0.626420507,0.35612535612531,-0.726403968,-0.726403968,0.08914572619068,-0.526747959,-4,-0.311784162,0.029537447,-0.542534961,0.269995758,0.029537447
gen-11,28,2,28,0.603067503,0.40993612491128,0.231944876,0.231944876,0.24504856083731,-0.386988753,12,1.053502275,0.178865651,-0.284350091,0.244573005,0.178865651
feb-11,25,3,25,0.36850847,0.29644268774707,-0.007642335,-0.007642335,0.26562604219592,-0.227263945,-3,-0.22645376,0.200198252,-0.102204818,0.194790019,0.200198252
mar-11,28,3,28,1.525070147,0.39408866995073,0.231944876,0.231944876,0.36414820968360,-0.067539138,3,0.285528654,0.200198252,0.467556403,0.170375956,0.200198252
apr-11,27,3,27,1.368689449,0.49067713444557,0.152082472,0.152082472,0.39778615426366,0.152082472,-1,-0.055792955,0.264196053,0.966333892,0.29133455,0.264196053
mag-11,23,2,23,0.346726732,0.09765624999995,-0.167367143,-0.167367143,0.31971618553583,0.052254467,-4,-0.311784162,-0.077125556,0.902248699,0.194150356,-0.077125556
giu-11,20,3,20,0.145469529,0.09756097560981,-0.406954354,-0.406954354,0.26999575750151,-0.047573537,-3,-0.22645376,-0.077125556,0.846488964,0.217696074,-0.077125556
lug-11,20,2,20,0.888535698,0.29239766081875,-0.406954354,-0.406954354,0.24457300521852,-0.207298344,0,0.029537447,-0.141123358,0.687355352,0.289742184,-0.141123358
ago-11,18,2,18,0.986119163,0.29154518950431,-0.566679161,-0.566679161,0.19479001898320,-0.386988753,-2,-0.141123358,-0.162455958,0.59171278,0.240178787,-0.162455958
set-11,20,2,20,1.52932577,0.00000000000000,-0.406954354,-0.406954354,0.17037595648322,-0.446885555,2,0.200198252,-0.034460355,0.88736254,0.383538375,-0.034460355
ott-11,19,1,19,1.871489491,0.58139534883718,-0.486816757,-0.486816757,0.29133454979006,-0.466851156,-1,-0.055792955,0.008204846,1.318867531,0.405814811,0.008204846
nov-11,37,2,37,0.779768383,-0.09633911368009,0.950706509,0.950706509,0.19415035616535,-0.127435941,18,1.565484689,0.392191657,1.291675702,0.333768702,0.392191657
dic-11,29,5,29,3.403899117,0.38572806171648,0.311807279,0.311807279,0.21769607421839,0.092185669,-8,-0.653105772,0.264196053,1.89612069,0.28524224,0.264196053
gen-12,33,4,33,3.422054875,0.28818443804028,0.631256894,0.631256894,0.28974218372846,0.351738481,4,0.370859056,0.306861255,2.369302967,0.189552337,0.306861255
feb-12,18,4,18,2.465869057,0.38314176245220,-0.566679161,-0.566679161,0.24017878713222,0.33177288,-15,-1.250418588,0.008204846,2.517897858,0.165094592,0.008204846
mar-12,31,2,31,2.362400168,0.47709923664116,0.471532087,0.471532087,0.38353837471253,0.211979275,13,1.138832678,-0.098458157,2.913555804,0.165094592,-0.098458157
apr-12,22,2,22,3.326621695,0.47483380816716,-0.247229546,-0.247229546,0.40581481132520,0.072220068,-9,-0.738436174,-0.119790757,2.894236449,0.117835613,-0.119790757
mag-12,26,3,26,3.153066947,0.00000000000000,0.072220068,0.072220068,0.33376870181513,-0.067539138,4,0.370859056,-0.119790757,2.826989467,0.04730235,-0.119790757
giu-12,24,4,24,2.732592088,0.18903591682420,-0.087504739,-0.087504739,0.28524224040813,0.052254467,-2,-0.141123358,0.15753305,2.893670224,8.83318E-05,0.15753305
lug-12,16,5,16,1.905258213,0.09433962264146,-0.726403968,-0.726403968,0.18955233690821,-0.247229546,-8,-0.653105772,-0.290451562,2.779384736,0.047036689,-0.290451562
ago-12,18,3,18,1.620935833,0.37700282752129,-0.566679161,-0.566679161,0.16509459174674,-0.32709195,2,0.200198252,-0.055792955,2.35296327,0.070466867,-0.055792955
set-12,20,3,20,2.645805544,0.00000000000000,-0.406954354,-0.406954354,0.16509459174674,-0.446885555,2,0.200198252,-0.098458157,2.22614792,0.164231703,-0.098458157
ott-12,24,3,24,2.866904242,0.00000000000000,-0.087504739,-0.087504739,0.11783561254069,-0.446885555,4,0.370859056,0.029537447,2.259725958,0.117195014,0.029537447
nov-12,20,3,20,2.864561709,-0.18779342723005,-0.406954354,-0.406954354,0.04730235007281,-0.367023152,-4,-0.311784162,0.114867849,2.499551832,0.070246657,0.114867849
dic-12,23,4,23,1.97281709,0.18814675446849,-0.167367143,-0.167367143,0.00008833180961,-0.267195147,3,0.285528654,0.13620045,2.587522146,0.116909937,0.13620045
gen-13,32,3,32,2.440444599,0.18779342723003,0.55139449,0.55139449,0.04703668861712,-0.027607936,9,0.797511068,0.285528654,2.53618191,0.093392619,0.285528654
feb-13,19,2,19,0.868373044,0.09372071227746,-0.486816757,-0.486816757,0.07046686668648,-0.127435941,-13,-1.079757784,-0.077125556,2.036549111,0.186502489,-0.077125556
mar-13,20,1,20,0.955475679,0.18726591760288,-0.406954354,-0.406954354,0.16423170289472,-0.127435941,1,0.114867849,0.029537447,1.559277603,0.116929205,0.029537447
apr-13,25,7,25,0.480718756,0.00000000000000,-0.007642335,-0.007642335,0.11719501427760,-0.087504739,5,0.456189459,0.072202648,1.18625302,0.000324119,0.072202648
mag-13,23,5,23,0.894801896,0.00000000000000,-0.167367143,-0.167367143,0.07024665747009,-0.267195147,-2,-0.141123358,-0.162455958,0.799842344,-0.092872526,-0.162455958
giu-13,21,3,21,0.895318323,0.28037383177575,-0.32709195,-0.32709195,0.11690993734466,-0.227263945,-2,-0.141123358,0.072202648,0.806578664,-0.139253423,0.072202648
lug-13,14,2,14,-0.169073656,0.09319664492072,-0.886128775,-0.886128775,0.09339261917412,-0.347057551,-7,-0.567775369,-0.098458157,0.52544133,-0.023038349,-0.098458157
ago-13,12,2,12,0.881662028,0.37243947858492,-1.045853583,-1.045853583,0.18650248882035,-0.606610363,-2,-0.141123358,-0.247786361,0.625677148,0.000195812,-0.247786361
set-13,14,3,14,0.357053932,-0.27829313543613,-0.886128775,-0.886128775,0.11692920496132,-0.786300771,2,0.200198252,-0.162455958,0.491240156,0.093392457,-0.162455958
ott-13,20,2,20,3.300479165,-0.18604651162789,-0.406954354,-0.406954354,0.00032411911040,-0.806266372,6,0.541519861,0.008204846,1.092530367,0.09321842,0.008204846
